type,name,glon,glat,distance (parsecs),x (parsecs),y (parsecs),z (parsecs),radius (parsecs),log10 age (years),Arm (masers),Source
maser,G351.44+00.65,351.44,0.65,1329,1314.11108346254,-197.80230872588,15.0767033410498,,,Sgr,2019ApJ...874...94W
maser,G011.49-01.48,11.49,-1.48,1250,1224.54071625026,248.913063098505,-32.2850006073982,,,Sgr,2019ApJ...874...94W
maser,G014.33-00.64,14.33,-0.64,1119,1084.11609955434,276.942332327717,-12.4990900460234,,,Sgr,2019ApJ...874...94W
maser,G014.63-00.57,14.63,-0.57,1831,1771.54591828414,462.443798450402,-18.2151773408634,,,Sgr,2019ApJ...874...94W
maser,G015.03-00.67,15.03,-0.67,2004,1935.31118637667,519.651302129753,-23.4336527284331,,,Sgr,2019ApJ...874...94W
maser,G034.39+00.22,34.39,0.22,1555,1283.19534214697,878.293267625778,5.97075669942227,,,Sgr,2019ApJ...874...94W
maser,G035.02+00.34,35.02,0.34,2325,1904.02936035376,1334.20644755209,13.7967467640961,,,Sgr,2019ApJ...874...94W
maser,G035.19-00.74,35.19,-0.74,2192,1791.25271066472,1263.12164059858,-28.3098496615107,,,Sgr,2019ApJ...874...94W
maser,G035.20-01.73,35.2,-1.73,2427,1982.30670079347,1398.36355244385,-73.2701793768836,,,Sgr,2019ApJ...874...94W
maser,G037.42+01.51,37.42,1.51,1879,1491.78838955511,1141.38369223191,49.5143201067542,,,Sgr,2019ApJ...874...94W
maser,G049.48-00.36,49.48,-0.36,5128,3331.66475744352,3898.12208865257,-32.2199622553863,,,Sgr,2019ApJ...874...94W
maser,G049.48-00.38,49.48,-0.38,5405,3511.62391208718,4108.67831409645,-35.8470547060916,,,Sgr,2019ApJ...874...94W
maser,G032.74-00.07,32.74,-0.07,7936,6675.22982352436,4292.00521871647,-9.69565064868281,,,Sgr,2019ApJ...874...94W
maser,G035.79-00.17,35.79,-0.17,8849,7177.97546246877,5175.0149671603,-26.2554730133915,,,Sgr,2019ApJ...874...94W
maser,G037.47-00.10,37.47,-0.1,11363,9018.48095306864,6912.62446429149,-19.8321662217025,,,Sgr,2019ApJ...874...94W
maser,G038.03-00.30,38.03,-0.3,10526,8291.09324470729,6484.70595181825,-55.1137552895225,,,Sgr,2019ApJ...874...94W
maser,G041.15-00.20,41.15,-0.2,8000,6023.87879877164,5264.22875645447,-27.9252113217899,,,Sgr,2019ApJ...874...94W
maser,G041.22-00.19,41.22,-0.19,8849,6656.0479106687,5831.0347384068,-29.3443414648714,,,Sgr,2019ApJ...874...94W
maser,G043.03-00.45,43.03,-0.45,7692,5622.65171741826,5248.71432162427,-60.4122056359676,,,Sgr,2019ApJ...874...94W
maser,G043.79-00.12,43.79,-0.12,6024,4348.60172014984,4168.70242404471,-12.6166268730255,,,Sgr,2019ApJ...874...94W
maser,G043.89-00.78,43.89,-0.78,7462,5377.15706482606,5172.74657586012,-101.581307919132,,,Sgr,2019ApJ...874...94W
maser,G045.07+00.13,45.07,0.13,7751,5474.07044022758,5487.46248573435,17.5864460525899,,,Sgr,2019ApJ...874...94W
maser,G045.45+00.06,45.45,0.06,8403,5894.96533847459,5988.2981910751,8.79959941439804,,,Sgr,2019ApJ...874...94W
maser,G045.49+00.12,45.49,0.12,6944,4867.96760910875,4951.95071100054,14.5434689585473,,,Sgr,2019ApJ...874...94W
maser,G045.80-00.35,45.8,-0.35,7299,5088.51314371245,5232.63289421612,-44.5867764375614,,,Sgr,2019ApJ...874...94W
